1182,638,0
1225,609,1
1273,591,2
1306,572,3
1336,555,4
1301,664,5
1338,642,6
1324,608,7
1303,593,8
1289,679,9
1328,645,10
1312,609,11
1291,598,12
1270,684,13
1298,639,14
1279,607,15
1257,599,16
1246,682,17
1270,646,18
1262,621,19
1245,612,20
1192,624,0
1225,593,1
1273,574,2
1305,556,3
1332,538,4
1312,652,5
1348,632,6
1323,601,7
1297,590,8
1293,675,9
1338,648,10
1313,611,11
1288,599,12
1267,686,13
1293,645,14
1269,608,15
1248,598,16
1239,687,17
1267,661,18
1266,633,19
1257,619,20
1191,621,0
1226,590,1
1272,572,2
1303,554,3
1330,537,4
1313,648,5
1349,626,6
1322,598,7
1297,589,8
1294,673,9
1340,649,10
1314,614,11
1288,602,12
1268,685,13
1289,641,14
1264,607,15
1243,598,16
1238,688,17
1264,658,18
1264,632,19
1258,619,20
1186,625,0
1222,593,1
1269,572,2
1302,552,3
1330,534,4
1312,647,5
1347,625,6
1320,596,7
1295,587,8
1293,672,9
1336,647,10
1309,612,11
1283,600,12
1266,683,13
1288,639,14
1263,604,15
1242,593,16
1237,685,17
1262,655,18
1262,628,19
1256,614,20
1183,622,0
1218,590,1
1266,569,2
1299,550,3
1327,534,4
1307,648,5
1344,624,6
1318,596,7
1291,587,8
1290,672,9
1334,643,10
1309,609,11
1284,599,12
1264,682,13
1286,638,14
1262,605,15
1241,596,16
1235,683,17
1260,655,18
1259,628,19
1253,613,20
1183,622,0
1217,590,1
1265,570,2
1298,549,3
1327,533,4
1303,649,5
1343,625,6
1319,595,7
1294,588,8
1286,671,9
1334,642,10
1308,607,11
1283,599,12
1261,681,13
1287,638,14
1262,605,15
1241,601,16
1234,681,17
1259,652,18
1254,624,19
1244,612,20
1181,620,0
1218,588,1
1265,569,2
1298,549,3
1327,532,4
1303,648,5
1344,623,6
1319,594,7
1296,588,8
1286,670,9
1332,639,10
1305,603,11
1281,597,12
1261,679,13
1288,635,14
1264,602,15
1243,598,16
1233,678,17
1260,648,18
1256,618,19
1245,606,20
1178,619,0
1215,586,1
1264,567,2
1297,547,3
1325,528,4
1302,648,5
1343,622,6
1319,592,7
1296,585,8
1284,669,9
1333,638,10
1308,602,11
1284,595,12
1259,677,13
1287,633,14
1264,599,15
1245,594,16
1231,676,17
1257,646,18
1253,618,19
1242,607,20
1178,616,0
1214,583,1
1263,564,2
1297,544,3
1324,526,4
1305,639,5
1344,617,6
1318,588,7
1293,580,8
1287,663,9
1336,638,10
1309,602,11
1283,591,12
1262,675,13
1288,632,14
1262,597,15
1240,589,16
1235,676,17
1261,644,18
1256,616,19
1246,604,20
1176,618,0
1214,582,1
1264,561,2
1297,541,3
1326,525,4
1306,637,5
1343,613,6
1316,586,7
1290,579,8
1289,662,9
1336,636,10
1309,601,11
1283,591,12
1264,674,13
1289,631,14
1263,596,15
1240,589,16
1235,676,17
1260,645,18
1256,616,19
1246,604,20
1179,617,0
1215,582,1
1265,560,2
1297,541,3
1325,525,4
1309,633,5
